,Region Name (GO),ONS LACode,ONS LA Name,CP,S Ref Latitude,S Ref Longitude,Road,RCat,iDir,Year,dCount,Hour,PC,2WMV,CAR,BUS,LGV,HGV,AMV
11436,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,7,51,42,315,45,68,47,517
11437,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,8,42,38,235,28,41,34,376
11438,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,9,29,33,336,25,37,38,469
11439,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,10,1,8,287,19,27,42,383
11440,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,11,2,4,269,18,25,39,355
11441,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,12,6,5,289,46,179,42,561
11442,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,13,0,2,124,9,135,42,312
11443,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,14,17,24,151,41,24,19,259
11444,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,15,10,19,132,35,27,30,243
11445,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,16,13,15,314,32,78,57,496
11446,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,17,17,21,297,47,57,54,476
11447,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,N,2011,24/03/2011,18,6,10,243,38,55,40,386
11448,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,7,83,31,339,38,115,72,595
11449,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,8,77,39,213,32,82,63,429
11450,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,9,34,41,349,38,87,55,570
11451,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,10,5,11,231,26,67,33,368
11452,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,11,5,13,215,21,49,27,325
11453,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,12,6,8,216,45,52,20,341
11454,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,13,23,22,303,26,96,42,489
11455,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,14,13,21,301,48,78,60,508
11456,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,15,14,24,296,42,78,43,483
11457,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,16,8,17,279,31,69,37,433
11458,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,17,13,14,239,39,58,28,378
11459,London,E09000013,Hammersmith and Fulham,6428,51.50998612,-0.224661585,A219,PU,S,2011,24/03/2011,18,6,7,217,34,52,27,337
11676,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,7,114,102,736,61,192,35,1126
11677,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,8,175,117,626,43,125,38,949
11678,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,9,60,84,491,31,102,26,734
11679,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,10,31,49,339,38,84,38,548
11680,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,11,15,25,327,51,129,33,565
11681,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,12,18,21,202,32,89,40,384
11682,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,13,14,28,296,38,81,30,473
11683,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,14,19,36,344,48,61,28,517
11684,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,15,17,28,298,41,59,31,457
11685,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,16,17,29,464,51,70,21,635
11686,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,17,36,20,416,48,51,17,552
11687,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,N,2011,28/09/2011,18,61,18,368,69,38,4,497
11688,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,7,26,38,610,71,200,46,965
11689,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,8,41,34,495,52,112,48,741
11690,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,9,32,27,406,44,98,46,621
11691,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,10,26,27,336,57,140,33,593
11692,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,11,18,29,355,63,115,30,592
11693,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,12,14,23,311,41,92,25,492
11694,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,13,22,26,344,52,101,25,548
11695,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,14,17,30,394,61,119,29,633
11696,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,15,8,18,312,46,81,20,477
11697,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,16,45,68,372,55,110,24,629
11698,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,17,128,90,377,96,84,13,660
11699,London,E09000013,Hammersmith and Fulham,6777,51.47065802,-0.210782291,A219,PU,S,2011,28/09/2011,18,72,74,328,80,40,13,535
11748,London,E09000013,Hammersmith and Fulham,6897,51.4934619,-0.244030934,A315,PU,E,2011,14/07/2011,7,128,29,213,56,57,18,373
11749,London,E09000013,Hammersmith and Fulham,6897,51.4934619,-0.244030934,A315,PU,E,2011,14/07/2011,8,172,46,266,34,41,22,409
11750,London,E09000013,Hammersmith and Fulham,6897,51.4934619,-0.244030934,A315,PU,E,2011,14/07/2011,9,36,36,228,34,39,16,353
11751,London,E09000013,Hammersmith and Fulham,6897,51.4934619,-0.244030934,A315,PU,E,2011,14/07/2011,10,27,25,206,30,60,14,335
11752,London,E09000013,Hammersmith and Fulham,6897,51.4934619,-0.244030934,A315,PU,E,2011,14/07/2011,11,33,26,186,31,57,17,317
11753,London,E09000013,Hammersmith and Fulham,6897,51.4934619,-0.244030934,A315,PU,E,2011,14/07/2011,12,28,30,100,25,36,11,202
11754,London,E09000013,Hammersmith and Fulham,6897,51.4934619,-0.244030934,A315,PU,E,2011,14/07/2011,13,23,14,148,34,48,9,253
11755,London,E09000013,Hammersmith and Fulham,6897,51.4934619,-0.244030934,A315,PU,E,2011,14/07/2011,14,31,17,156,26,61,12,272
